timestamp,ax,ay,az,gx,gy,gz
1745843751,-0.073,-0.056,0.957,20.569,3.845,-89.539
1745843751,-0.109,-0.048,0.994,5.371,13.245,-76.355
1745843751,-0.142,-0.063,0.927,12.573,35.461,-72.754
1745843751,-0.037,-0.025,0.964,63.171,28.748,-118.469
1745843751,-0.038,-0.145,0.927,62.927,6.348,-68.665
1745843751,-0.073,-0.204,0.939,21.057,31.86,-60.364
1745843751,-0.015,-0.166,0.974,-4.395,29.968,-10.62
1745843752,-0.012,-0.173,0.989,-12.756,14.648,-4.333
1745843752,-0.038,-0.14,0.979,-9.766,4.456,1.953
1745843752,-0.07,-0.125,0.98,-4.517,0.183,3.662
1745843752,-0.025,-0.131,0.953,-3.052,-2.563,5.066
1745843752,0.001,-0.152,0.946,-18.311,1.038,7.874
1745843752,-0.024,-0.092,0.957,-34.973,-7.324,18.311
1745843752,-0.047,-0.021,0.942,-20.569,-19.104,-11.047
1745843752,-0.063,-0.004,0.989,-1.953,4.883,-25.391
1745843752,-0.003,-0.061,1.021,9.46,4.272,-45.349
1745843752,-0.014,-0.052,1.063,24.597,17.944,-80.078
1745843752,0.019,-0.097,1.0,68.054,1.038,-89.783
1745843752,-0.127,-0.192,0.953,71.899,2.869,-93.567
1745843752,0.035,-0.292,0.899,18.25,-13.367,-84.229
1745843752,-0.134,-0.264,0.915,-26.917,32.959,-92.773
1745843752,-0.111,-0.205,0.882,-33.264,63.599,-81.116
1745843752,0.005,-0.199,0.908,-16.846,65.613,-60.913
1745843752,0.121,-0.142,0.909,9.277,55.115,-32.166
1745843752,0.132,-0.147,0.964,13.123,11.475,-13.489
1745843752,0.111,-0.173,1.034,9.155,1.343,-9.827
1745843753,0.062,-0.187,1.013,-5.066,1.282,-8.057
1745843753,0.153,-0.193,0.948,-0.916,9.644,-5.615
1745843753,0.09,-0.155,0.955,2.014,3.357,5.371
1745843753,0.115,-0.17,0.939,-5.005,-3.479,5.005
1745843753,0.145,-0.168,0.932,8.545,-1.404,13.55
1745843753,0.107,-0.158,0.944,27.832,-8.911,39.49
1745843753,0.199,-0.225,0.899,35.828,-19.714,53.467
1745843753,0.049,-0.203,0.96,18.616,-73.12,56.213
1745843753,-0.023,-0.312,0.959,-0.977,-44.312,88.989
1745843753,0.019,-0.208,0.958,-24.414,-50.049,67.81
1745843753,-0.006,-0.187,0.938,-30.64,-4.028,82.703
1745843753,0.03,-0.136,0.9,-18.127,4.089,34.607
1745843753,-0.016,-0.117,0.909,-0.671,-5.493,18.127
1745843753,-0.014,-0.132,0.964,-5.432,-9.094,-1.648
1745843753,-0.02,-0.188,0.998,-8.362,12.268,-3.052
1745843753,-0.027,-0.162,0.993,-11.536,5.432,1.77
1745843753,0.04,-0.111,0.983,-11.23,0.244,-2.93
1745843753,-0.021,-0.092,0.953,0.671,9.949,2.258
1745843753,0.037,-0.106,0.951,1.648,-3.906,0.488
1745843754,-0.024,-0.109,0.962,6.958,5.005,1.892
1745843754,0.025,-0.13,0.963,8.789,1.16,-4.15
1745843754,-0.003,-0.12,0.953,7.324,3.479,2.014
1745843754,0.052,-0.124,0.973,13.0,0.793,2.563
1745843754,0.001,-0.172,0.969,12.878,-6.348,-1.404
1745843754,0.012,-0.158,0.958,7.08,4.395,0.977
1745843754,0.02,-0.154,0.935,7.812,-5.615,-1.282
1745843754,0.022,-0.172,0.947,3.967,6.531,0.061
1745843754,0.026,-0.162,0.969,10.254,-1.831,-0.427
1745843754,0.022,-0.19,0.982,10.071,7.202,0.244
1745843754,0.039,-0.193,0.966,-0.244,-0.916,-1.648
1745843754,0.012,-0.182,0.946,0.366,8.972,-0.183
1745843754,0.049,-0.181,0.965,1.709,-1.465,-2.93
1745843754,0.042,-0.176,1.028,10.193,6.104,0.183
1745843754,0.073,-0.205,1.077,8.911,8.911,2.808
1745843754,0.035,-0.248,1.084,-0.427,-13.306,-3.906
1745843754,-0.007,-0.207,1.021,-1.404,2.197,-1.587
1745843754,0.042,-0.199,0.984,2.625,-18.066,2.502
1745843754,-0.044,-0.217,0.964,4.639,-5.737,15.869
1745843755,-0.007,-0.169,0.921,7.69,-16.846,4.272
1745843755,0.018,-0.224,0.919,24.292,-2.625,1.16
1745843755,0.019,-0.26,0.89,23.987,-17.578,-1.77
1745843755,-0.059,-0.269,0.893,10.742,-9.094,9.155
1745843755,-0.025,-0.254,0.893,5.188,8.24,9.888
1745843755,0.009,-0.257,0.928,2.93,-0.916,2.014
1745843755,-0.008,-0.271,0.956,-12.085,-2.38,1.526
1745843755,-0.023,-0.246,0.941,-13.733,6.104,4.639
1745843755,-0.007,-0.217,0.955,-12.817,-5.188,2.319
1745843755,-0.033,-0.229,0.979,-9.766,-3.967,0.305
1745843755,-0.001,-0.228,0.946,-22.339,-9.644,-7.385
1745843755,-0.054,-0.187,0.923,-25.452,-5.737,-2.869
1745843755,-0.025,-0.145,0.899,-12.085,0.549,0.61
1745843755,-0.053,-0.122,0.908,-3.845,-3.235,0.366
1745843755,-0.054,-0.137,0.909,-0.732,2.441,1.77
1745843755,-0.018,-0.138,0.892,-7.751,-3.235,-5.005
1745843755,-0.043,-0.123,0.891,-3.479,-2.747,-4.272
1745843755,-0.026,-0.116,0.876,5.432,-0.671,2.258
1745843755,-0.04,-0.129,0.85,15.198,-6.531,16.541
1745843756,-0.004,-0.132,0.871,10.986,15.198,6.287
1745843756,0.004,-0.176,0.891,-10.681,-2.563,-0.366
1745843756,-0.026,-0.169,0.919,-14.038,8.484,3.54
1745843756,-0.047,-0.164,0.97,-9.033,11.353,7.996
1745843756,0.023,-0.125,0.957,-20.386,5.981,-6.836
1745843756,-0.061,-0.127,0.979,-19.897,4.639,-6.226
1745843756,0.028,-0.065,0.959,-20.813,13.489,-4.395
1745843756,-0.034,-0.061,0.992,-7.507,11.353,2.808
1745843756,0.029,-0.082,0.983,10.559,15.259,2.747
1745843756,0.014,-0.07,1.041,15.503,5.31,-2.686
1745843756,0.039,-0.1,1.023,-3.662,5.188,-8.118
1745843756,0.092,-0.089,0.998,-19.47,-14.954,-12.695
1745843756,-0.002,-0.059,0.954,-23.926,-3.418,-7.629
1745843756,0.045,-0.024,0.938,-12.695,3.723,-2.808
1745843756,-0.036,-0.009,0.928,-4.7,10.437,1.16
1745843756,0.04,-0.039,0.948,0.183,16.052,-5.005
1745843756,0.051,-0.034,0.98,4.944,-1.282,-5.615
1745843756,0.064,-0.059,0.985,5.798,-2.319,-6.775
1745843756,0.042,-0.047,1.016,5.859,-6.348,-3.54
1745843757,0.051,-0.038,1.006,4.028,0.793,-3.418
1745843757,0.051,-0.059,0.996,2.197,-2.625,-2.319
1745843757,0.062,-0.044,1.027,10.803,-4.456,0.427
1745843757,0.043,-0.075,1.043,9.827,3.174,1.099
1745843757,0.019,-0.066,1.045,5.615,-1.16,2.136
1745843757,0.003,-0.054,1.042,7.08,2.625,0.854
1745843757,0.03,-0.067,1.032,4.395,-3.601,-1.038
1745843757,0.032,-0.064,1.03,21.851,-7.08,-3.479
1745843757,-0.032,-0.12,0.998,27.832,-3.723,-3.479
1745843757,0.11,-0.16,1.043,19.958,8.484,-2.441
1745843757,-0.005,-0.135,1.015,16.968,-13.306,1.526
1745843757,0.052,-0.161,0.989,-1.709,4.15,-1.526
1745843757,0.004,-0.14,0.971,2.869,-6.714,2.869
1745843757,0.005,-0.162,0.958,5.92,3.418,8.179
1745843757,0.031,-0.153,0.947,5.188,4.456,5.493
1745843757,-0.015,-0.16,0.935,4.15,-4.15,5.615
1745843757,0.02,-0.167,0.954,11.108,7.019,10.925
1745843758,0.044,-0.169,0.959,5.066,-12.695,6.714
1745843758,0.012,-0.171,0.965,0.427,-12.878,6.714
1745843758,0.022,-0.189,0.974,-3.052,-6.714,2.441
1745843758,-0.007,-0.168,0.964,-6.287,-9.46,1.587
1745843758,-0.023,-0.166,0.952,-6.897,-2.93,5.798
1745843758,-0.035,-0.162,0.97,-6.287,-2.991,6.226
1745843758,0.006,-0.165,0.958,-8.972,-3.418,2.197
1745843758,-0.015,-0.148,0.926,-20.874,-18.677,-6.042
1745843758,-0.022,-0.12,0.936,-10.498,-3.113,-3.418
1745843758,-0.021,-0.135,0.916,-5.493,-3.784,2.258
1745843758,0.007,-0.14,0.906,-5.92,-7.996,-0.122
1745843758,-0.085,-0.1,0.873,-19.531,-22.095,-8.728
1745843758,-0.086,-0.069,0.857,-9.644,8.667,-0.671
1745843758,-0.028,-0.07,0.818,0.427,0.854,0.122
1745843758,-0.053,-0.07,0.886,5.676,4.7,0.732
1745843758,-0.041,-0.104,0.904,6.348,11.169,0.61
1745843758,-0.079,-0.092,0.904,-1.892,20.691,1.648
1745843758,0.043,-0.089,0.92,8.911,27.527,-3.723
1745843758,0.017,-0.089,0.938,16.113,20.142,-4.089
1745843758,0.064,-0.127,0.975,13.733,14.587,-4.211
1745843759,0.007,-0.144,1.02,6.104,5.432,-6.714
1745843759,0.087,-0.166,0.96,-15.076,-0.977,-11.963
1745843759,-0.021,-0.091,0.975,-15.259,-12.207,-7.935
1745843759,0.02,-0.081,0.951,-4.883,11.292,-8.179
1745843759,0.041,-0.068,0.972,-7.385,-5.615,-9.094
